
<Log started at 08-08-2022, 09:07:57.558>
09:07:57.593: 🐙 AzimuthSuite v1.0.0.0 
09:07:57.924: Loading settings from AzimuthSuit.settings
09:07:58.025: Current application settings:
09:07:58.028: 
-- UseAUXGNSSCompas: True
-- AUXGNSSCompasBaudrate: baudRate38400
-- IsUseOutputport: False
-- OutPortBaudrate: baudRate9600
-- RemoteAddressToOutput: REM_ADDR_1
-- HeadingAdjust_deg: 0
-- LongitudalOffset_m: 0
-- TransverseOffset_m: 0
-- Salinity_PSU: 0
-- AddressMask: 1
-- MaxDist_m: 500
09:08:10.030: IsActive=True
09:08:10.031: INFO: AZM Starting detection...
09:08:10.045: INFO: Trying COM17 as AZM...
09:08:10.089: INFO: COM17 (AZM) << $PAZM?,0*25
09:08:10.171: INFO: COM17 (AZM) >> $PAZM!,0,1,1F0039001451303338353336,AzimuthB,304,0,0*5E
09:08:10.189: INFO: GNSS Starting detection...
09:08:10.194: INFO: Trying COM17 as GNSS...
09:08:10.464: INFO: AZM detected on COM17
09:08:10.478: INFO: Querying to start polling (AddrMask=1, Salinity=0.0 PSU, MaxDist=500.0 m)
09:08:10.485: INFO: COM17 (AZM) << $PAZM1,1,0.,,500.*03
09:08:10.555: INFO: COM17 (AZM) >> $PAZM1,1,0.0,1500.0,500.0*19
09:08:10.558: INFO: Polling started (AddrMask=1, Salinity=0.0 PSU, SoundSpeed=1500.0 m/s, MaxDist=500.0 m)
09:08:10.858: INFO: COM17 (AZM) >> $PAZM3,0,,,,,,,,,,,1060.64,25.6,,3.2,1.8*39
09:08:11.064: INFO: Trying COM6 as GNSS...
09:08:11.113: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.126: INFO: GNSS detected on COM6
09:08:11.209: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.305: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.416: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.512: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.609: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.704: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.768: INFO: COM6 (GNSS) >> $GPGNS,,,,,,N,,,,,,,U*7A
09:08:11.768: INFO: COM6 (GNSS) >> $GNGNS,,,,,,NNN,,,,,,,U*64
09:08:11.784: INFO: COM6 (GNSS) >> $GPRMC,,V,,,,,,,,,,N,U*2A
09:08:11.784: INFO: COM6 (GNSS) >> $GPHEV,,*4C
09:08:11.816: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:11.816: INFO: COM6 (GNSS) >> $HEROT,,V*12
09:08:11.866: INFO: COM17 (AZM) >> $PAZM3,0,,,,,,,,,,,1059.93,25.6,,2.8,1.7*3F
09:08:11.912: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.008: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.104: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.216: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.217: INFO: COM17 (AZM) >> $PAZM3,2,0,0,,,,,,,,,1062.24,25.6,,2.3,1.0*35
09:08:12.312: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.408: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.521: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.616: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:08:12.712: INFO: COM6 (GNSS) >> $HEHDT,,T*01
09:09:00.248: INFO: COM6 (GNSS) >> $GPGNS,060901.00,4830.0876015,N,04433.2371853,E,A,17,0.7,-1.290,3.763,,,S*6A
09:09:00.248: INFO: COM6 (GNSS) >> $GPGNS,060901.00,,,,,,9,,,,,,S*2B
09:09:00.248: INFO: COM6 (GNSS) >> $GNGNS,060901.00,4830.0876015,N,04433.2371853,E,AAA,17,0.7,-1.290,3.763,,,S*74
09:09:00.279: INFO: COM6 (GNSS) >> $GLGNS,060901.00,,,,,,1,,,,,,S*3F
09:09:00.279: INFO: COM6 (GNSS) >> $GAGNS,060901.00,,,,,,2,,,,,,S*31
09:09:00.310: INFO: COM6 (GNSS) >> $GPRMC,060901.00,A,4830.0876015,N,04433.2371853,E,0.35,331.46,080822,9.6,E,A,S*45
09:09:00.310: INFO: COM6 (GNSS) >> $GPHEV,1.06,*55
09:09:00.310: INFO: COM6 (GNSS) >> $HEHDT,348.61,T*17
09:09:00.406: INFO: COM6 (GNSS) >> $HEHDT,348.28,T*1A
09:09:00.444: INFO: COM17 (AZM) >> $PAZM3,2,0,0,,,,,,,,,1061.00,25.6,,2.3,1.6*36
09:09:00.502: INFO: COM6 (GNSS) >> $HEHDT,347.98,T*1E
09:09:00.598: INFO: COM6 (GNSS) >> $HEHDT,347.76,T*1E
09:09:00.694: INFO: COM6 (GNSS) >> $HEHDT,347.57,T*1D
09:09:00.807: INFO: COM6 (GNSS) >> $HEHDT,347.42,T*19
09:09:00.902: INFO: COM6 (GNSS) >> $HEHDT,347.24,T*19
09:09:00.998: INFO: COM6 (GNSS) >> $HEHDT,347.08,T*17
09:09:01.094: INFO: COM6 (GNSS) >> $HEHDT,346.87,T*11
09:09:01.206: INFO: COM6 (GNSS) >> $HEHDT,346.71,T*18
09:09:01.207: INFO: COM6 (GNSS) >> $HEROT,-93.7,A*3B
09:09:01.237: INFO: COM6 (GNSS) >> $GPGNS,060902.00,4830.0876975,N,04433.2371063,E,A,17,0.7,-1.284,3.763,,,S*68
09:09:01.269: INFO: COM6 (GNSS) >> $GPGNS,060902.00,,,,,,9,,,,,,S*28
09:09:01.268: INFO: COM6 (GNSS) >> $GNGNS,060902.00,4830.0876975,N,04433.2371063,E,AAA,17,0.7,-1.284,3.763,,,S*76
09:09:01.269: INFO: COM6 (GNSS) >> $GAGNS,060902.00,,,,,,2,,,,,,S*32
09:09:01.269: INFO: COM6 (GNSS) >> $GLGNS,060902.00,,,,,,1,,,,,,S*3C
09:09:01.299: INFO: COM6 (GNSS) >> $GPRMC,060902.00,A,4830.0876975,N,04433.2371063,E,0.40,335.31,080822,9.6,E,A,S*44
09:09:01.300: INFO: COM6 (GNSS) >> $HEHDT,346.53,T*18
09:09:01.300: INFO: COM6 (GNSS) >> $GPHEV,1.00,*53
09:09:01.395: INFO: COM6 (GNSS) >> $HEHDT,346.34,T*19
09:09:01.507: INFO: COM6 (GNSS) >> $HEHDT,346.05,T*1B
09:09:01.531: INFO: COM17 (AZM) >> $PAZM3,0,0,0,509,20.1,0.053300,79.9,,,271.8,-2.0,1061.02,25.6,,6.3,4.1
09:09:01.603: INFO: COM6 (GNSS) >> $HEHDT,345.77,T*1D
09:09:01.699: INFO: COM6 (GNSS) >> $HEHDT,345.45,T*1C
09:09:01.795: INFO: COM6 (GNSS) >> $HEHDT,345.17,T*1B
09:09:01.907: INFO: COM6 (GNSS) >> $HEHDT,344.95,T*10
09:09:02.003: INFO: COM6 (GNSS) >> $HEHDT,344.73,T*18
09:09:02.099: INFO: COM6 (GNSS) >> $HEHDT,344.50,T*19
09:09:02.195: INFO: COM6 (GNSS) >> $HEHDT,344.29,T*17
09:09:02.211: INFO: COM6 (GNSS) >> $HEROT,-129.8,A*04
09:09:02.227: INFO: COM6 (GNSS) >> $GPGNS,060903.00,4830.0877890,N,04433.2370326,E,A,17,0.7,-1.262,3.763,,,S*69
09:09:02.258: INFO: COM6 (GNSS) >> $GNGNS,060903.00,4830.0877890,N,04433.2370326,E,AAA,17,0.7,-1.262,3.763,,,S*77
09:09:02.258: INFO: COM6 (GNSS) >> $GLGNS,060903.00,,,,,,1,,,,,,S*3D
09:09:02.258: INFO: COM6 (GNSS) >> $GPGNS,060903.00,,,,,,9,,,,,,S*29
09:09:02.289: INFO: COM6 (GNSS) >> $GAGNS,060903.00,,,,,,2,,,,,,S*33
09:09:02.289: INFO: COM6 (GNSS) >> $GPRMC,060903.00,A,4830.0877890,N,04433.2370326,E,0.39,333.65,080822,9.6,E,A,S*44
09:09:02.305: INFO: COM6 (GNSS) >> $GPHEV,0.97,*5C
09:09:02.305: INFO: COM6 (GNSS) >> $HEHDT,344.07,T*1B
09:09:02.315: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,19.1,-0.000125,-0.1,,0.0,86.0,90.0,1063.27,25.6,,4.8,3.2
09:09:02.401: INFO: COM6 (GNSS) >> $HEHDT,343.90,T*12
